name,desc,keywords
"Octagen","Operator of biopharmaceutical company. The company develops drugs for hemophilia, other genetic disorders and variations of recombinant B domain to avoid inactivation by flying below the radar screen of the immune system.","""genetic disorder"" hemophilia ""blood clotting"" therapies"
"GeckoGo","Operator of an online travel website. The company provides travel website for travelers which enables them to post, discuss and read travel information and reviews. It also develops travel applications for mobile phones.","""travel application"" ""travel website"" ""travel resource"""
"Yantra","Provider of distributed order management and supply chain fulfillment solutions for retail, distribution, logistics, and manufacturing industries. The company focuses on distributed order management, supply collaboration, inventory synchronization, reverse logistics, logistics management, networked warehouse management, and delivery and service scheduling. It also provides consulting and support services. It offers Yantra 7x products, a comprehensive group of software applications, which enable organizations to manage their fulfillment processes across customers, operations, suppliers, and partners.","""distributed order management"" ""supply chain fulfillment solution"" ""distributed order management"" ""inventory synchronization"""
"Insider Pages","Operator of online directory and reviews site in the United States. The company enables people to search local businesses in various categories, including dentists, doctors, hairstylists, plumbers, realtors, and restaurants. It also provides pay-per-call advertising model for merchants and small businesses.","""online search"" ""local search"" ""online directory"""
"GrindMedia","Provider of online action sports and entertainment content. The company provides adventure sports and entertainment content, featuring print, online and event properties through action sports, comedy and custom client web solutions.","sports ""entertainment content"""
"Discovery Engine","Developer of an internet search engine. The company offers an interaction model of search engine that also can also compile information from multiple sources.","""search engine"" ""internet search engine"" SEO"
"Pictos Technologies","Provider of semiconductor and imaging products. The company designs, manufactures and markets digital imaging semiconductor products for digital camera and mobile imaging appliance markets.","""imaging products"" ""digital imaging"" ""digital images"""
"OnForce","Provider of a cloud-based platform to procure and manage independent IT workforces. The company provides a workforce-as-a-Service (WaaS) technology that gives companies access to a pool of independent IT professionals throughout the U.S. and Canada. The company\'s technology enables employers to manage independent relationships, and is designed to mitigate potential exposure related to the misclassification of the independent professional as a company employee.","""on site technology"" ""technology service"" ""human resource software"""
"CEB Merchandise Brokers","Wholesaler of custom apparel and promotional items. The company specializes in brand design, screen printing, embroidery and imprinted promotional products.","""custom apparel"" ""brand design"" merchandise"
"WedSnap","Developer of Web applications to wedding consultants and Website developers. The company offers tools that allow wedding consultants and Website developers to engage with brides.","""web application"" ""wedding consultant"" ""website developer"""
"Prepay Technologies","Designer of stored-value card solutions. The company provides clients with integrated portfolio of prepaid services. The company\'s solution includes prepaid debit cards, retail gift cards, corporate incentive cards, prepaid payroll cards, insurance claim cards etc.","""debit cards"" ""prepaid services"" ""stored-value card solutions"""
"SaltCheck","Developer of a technology to monitor salt intake for the control of hypertension and congestive heart failure. The company develops the technology for self-monitoring by people used in doctor offices, clinics and for home use worldwide.","""salt intake"" monitor  hypertension ""congestive heart failure"" ""urine spot test"""
"SmartRM","Developer of encryption software that allows users to protect and share digital content, such as documents, audio and video files. The company operates an open-source, interoperable DRM platform based on the MPEG-21 standard. The company\'s software prevents unauthorized printing, copying and sharing, sets time limits on file use, tracks file users and helps keep control of files even after they are sent.","""encryption software"" ""digital contents"" ""unauthorized printing"" tracking"
"Restricted Stock Systems","Provider of software services to financial institutions and public companies. The company provides commercial software to manage trading plans in addition to software and services for processing and reporting of restricted stock and insider trading compliance.","""commercial software"" ""trading plans"" ""restricted stock"" reporting"
